supplier_Name,Contact_person,Address,Phone,Website,E-mail,supplier_Category,
 Environamics , Allen LeBoeuf ,"19 Executive Drive, Hudson, NH, 3051",603-889-0200,environamics.com,sales@environamics.com,Industrial Lubrication,
 Esko IndustriesLimited , HERMAN QUON ,"P.O. Box 5547, Bellingham, WA, 98227-5547",206-363-6501,eskoindustries.com,info@eskoindustries.com,Industrial Lubrication,
 eTurbine.Com , Charles Aschenbeck ,"3030 Greens Rd., Houston, TX, 77032",281-442-2700,eturbines.com,charlesaschenbeck@eturbines.com,Industrial Lubrication,
 Fairmont SupplyCompany , James A. Ashby ,"5821 Southwest Freeway, Suite 322, Houston, TX, 77057",713-838-2912 x.12,fairmontsupply.com,info@petropages.com,Industrial Lubrication,
 Fastorq BoltingSystems , Ann Sturdevant ,"P.O. Box 60869 AMF, Houston, TX, 77205-0869",281-358-5698,fastorq.com,sales@fastorq.com,Industrial Lubrication,
 Flo-Tech , Robert Boeck ,"2200 South Street, Racine, WI, 53404",262-639-6770,Flo-Tech.com,RobertBoeck@RacineFed.com,Industrial Lubrication,
 FloDynamix LLC , Fred Pourmirzaie ,"1155 Park Avenue, CA, CA, 94608",888-996-8436 x105,flodynamix.com,info@FloDynamix.com,Industrial Lubrication,
" Fluid EnergyControls, Inc. ", V.Larry Beynart ,"2240 Gasper Avenue, Los Angeles, CA, 90040",323-721-5598,None,VLBeynart@fecintl.com,Industrial Lubrication,
 Fluid ReliabilityServices , R.L. Oubre ,"3310 Alice Street, Houston, TX, 77021",888-437-7872,hurtco.com,ROubre9836@aol.com,Industrial Lubrication,
 Fred C. GilbertCo. , John Gilbert ,"1615 ""A"" Bedford Way, Beakersfield, CA, 93308",661-399-9569,fcgilbert.com,jscherer@fcgilbert.com,Industrial Lubrication,
" Frederickseal,Inc. ", Tony Frederick ,"461 Straw Road, Manchester, N.H., 3102",603-668-0900,frederickseal.com,info@frederickseal.com,Industrial Lubrication,
" GARZO,Incorporated ", Thomas Pafford ,"4430 Steffani, Houston, TX, 77041",713-466-8679,garzoproducts.com,tmpafford@garzoproducts.com,Industrial Lubrication,
 GeneralTechnologies Inc. , Wendell Withrow ,"P.O Box 8247, South Charleston, WV, 25303",304-768-4964,newwave.net,gti@newwave.net,Industrial Lubrication,
" Giant Industries,Inc. ", Dave Johnson ,"900 N. Westwood Ave., Toledo, Ohio, 43607",419-531-4600,giantpumps.com,sales@giantpumps.com,Industrial Lubrication,
" Global Treat, Inc. ", Customer Service / Sales ,"P.O.Box 681625, Houston, TX, 77268",281-370-3425,globaltreat.com,globaltreat@houston.rr.com,Industrial Lubrication,
 Groves IndustrialSupply , David Whitley ,"7301 Pinemont, Houston, TX, 77040",713-675-4747,grovesindustrial.com,sales@grovesindustrial.com,Industrial Lubrication,
" Gulf CoastCompressionEquipment, Inc. ", Robin C. Handy ,"227 15th Street, P.O. Box 1323, San Leon, TX, 77539",713-946-5220,gulfcoastcompression.com,rchandy@gulfcoastcompression.com,Industrial Lubrication,
 HenekManufacturing Inc. , Terri Kamke ,"9700 Almeda Genoa Rd., Houston, TX, 77075",713-943-7543,henekmfg.com,t.kamke@henekmfg.com,Industrial Lubrication,
 High PerformanceSynthetics , Glen Crawford ,"4002 Hardin Road, Baytown, TX, 77521",281-428-5465,highperformancesynthetics.com,hpsynthetics@houston.rr.com,Industrial Lubrication,
 Huntsman LLC. , Eric Oldham ,"3040 Post Oak Blvd., Houston, Texas, 77056",1-281-719-4317,huntsman.com,eric_oldham@huntsman.com,Industrial Lubrication,
 Hurt Company , Roy Christoffel ,"3310  Alice Street, Houston, TX, 77021",713 747 7411,hurtco.com,rchristoffel@hurtco.com,Industrial Lubrication,
 Huston IndustrialSales , Steve Luiken ,"35 Pennwood Place, Warrendale, PA, 15086",724-935-5666,hustonind.com,steve@hustonind.com,Industrial Lubrication,
 HYCOA , Gary S. Williams ,"200 Williams Drive, Zelienople, PA, 16063",724-452-6015,hycoa.com,admin@hycoa.com,Industrial Lubrication,
" Hydraulics, Inc. ", Adam Hegewald ,"713 West 11th street, Vancouver, WA, 98660",800-500-4399,hydraulics-inc.com,hydraulicsincs@hotmail.com,Industrial Lubrication,
 Hyseco , Dick Wagner ,"5900 Almeda- Genoa Road, Houston, TX, 77048",713-991-4240,hyseco-hsc.com,info@hyseco-hsc.com,Industrial Lubrication,
" I & M Industrials,Inc. ", Tom Mardre ,"P.O. Box 8775, STA. A, Greenville, SC, 29604",864-277-2450,None,info@petropages.com,Industrial Lubrication,
 Inductive PumpCorporation , Larry Salamey ,"P.O.Box 326, Barneveld, NY, 13304",315-896-4400,inductivepump.com,lrs@inductivepump.com,Industrial Lubrication,
 Industrial LeakTesting Service-MediVac , Brent Manly ,"25030 W. Avenue Stanford #190, Valencia, CA, 91355",800-479-3349,medivactech.com,vactek@hotmail.com,Industrial Lubrication,
 IndustrialMaterial Corps , Jason Levy ,"7701 Harborside Dr., Galveston, TX, 77554-9107",409-744-4538,industrialmaterial.com,sales@industrialmaterial.com,Industrial Lubrication,
 Industrial Pumps &Compressors , Greg Rossel ,"275 Elk Trail, Carol Stream, IL, 60188",630-221-0700,industrialpumps.com,sales@industrialpumps.com,Industrial Lubrication,
 InterResourcesInc. (CorrosionControl ) , M.Edgar Lewis ,"6830 N.Eldridege Ste. 211, Houston, TX., 77041",713-896-6364,stoprust.com,elewis@stoprust.com,Industrial Lubrication,
 ISOPur FluidTechnologies Inc. , Chuck Mitchell ,"80 South Broad St, Pawcatuck, CT, 6379",860-599-1872,isopurfluid.com,chuck.mitchell@isopur.com,Industrial Lubrication,
" J4 Fluid Handling,Inc ", Dirk Joubert ,"6820 Meadowridge Court, Suite B-5, Alpharetta, GA, 30005",770-205-4401,j4.net,dirk@j4.net,Industrial Lubrication,
 JAM DistributingCo. , Customer Service ,"P.O. Box 590026, Houston, TX, 77259-0026",713-844-7788,jamdistributing.com,jam@jamdistributing.com,Industrial Lubrication,
 Javelin Corp. ," Robert Wichert MS., P.E. ","P.O. Box 250, Barker,TX. 77413, 4515 Brittmore Road, Houston, TX, 77041",281-596-5656,javelincorp.com,info@javelincorp.com,Industrial Lubrication,
" Jet-Lube, Inc. ", Perry Whitley ,"P.O. Box 21258, 4849 Homestead Road, Ste.200, Houston, TX, 77226-1258",713-674-7617,jetlube.com,pwhitley@jetlube.com,Industrial Lubrication,
 Kaeser CompressorsInc , Angela Kelly ,"P.O. Box 946, Fredericksburg, VA, 22404",540-710-2913,kaesercompressors.com,kaeser2@kaeser.com,Industrial Lubrication,
 Kaman IndustrialTechnologies Corp. , Rick Walton ,"6060 South Loop East, Suite 216, Houston, TX, 77033",713-734-4500,kaman-ind-tech.com,htx005-kit@kaman.com,Industrial Lubrication,
 Kluber LubricationNorth America L.P. , Eileen Knight ,"54 Wentworth Avenue, Londonderry, NH, 3053",603-434-7704,kluberna.com,info@kluberna.com,Industrial Lubrication,
 KlueberLubrication IndiaPvt. Limited , Mr. Ambika Prasad Pandey ,"504 A wing Navbharat Estates, Zakaria Bunder Road, Sewri-W, Mumbai, Maharastra, 400015","022-4178740,41785",klueber.com,klueber.india@roltanet.com,Industrial Lubrication,
 Kop-Flex PowerTransmissionProducts , John P. O'Brien ,"7565 Harmans Road, Hanover, MD, 21076",410-787-8556,emerson-ept.com,JOBrien@emerson-ept.com,Industrial Lubrication,
" Kop-Flex, Inc. ", Steve Schwemmer ,"P.O. Box 1696, Baltimore, MD, 21203",410-768-2000,emerson-ept.com,contactept@emerson-ept.com,Industrial Lubrication,
" KTH Sales, Inc. ", Ken Hall ,"8574 Louisiana Place, Merrillville, IN, 46410",219-736-0060,kthsales.com,sales@kthsales.com,Industrial Lubrication,
 Lonestar AirCompressor Co Inc , Grant Querry ,"1005 Lindbergh Drive, Beaumont, TX, 77707",409-842-9550,None,info@petropages.com,Industrial Lubrication,
 Lormar ReclamationService , Robert Picek ,"2845-D Broce Dr., Norman, OK, 73072",405-321-0636,lormar.net,info@lormar.net,Industrial Lubrication,
" Lub-O-SealCompany, Inc. ", Mark Kirchgessner ,"17519 Lewis Drive, Cypress, Texas, 77433",281-373-0387,Industry.net,info@petropages.com,Industrial Lubrication,
" Lubchem Of Alaska,Inc. ", John Morris ,"6710 Wes Way, Anchorage, AK, 99518",907-349-6746,None,info@petropages.com,Industrial Lubrication,
" Lubchem, Inc. ", Randy Riney ,"P. O. Box 2626, Spring, TX, 77383",281-350-9600,lubchem.com,rriney@lubchem.com,Industrial Lubrication,
 LubricationSolutions , Brad Birdwell ,"9720 Derrington, Houston, Texas, 77064",281-807-9444,None,info@petropages.com,Industrial Lubrication,
 LubricationSystems Company , Chris Berthiaume ,"1740 Stebbins Drive, Houston, TX, 77043",713-464-6266,lsc.com,Chris.Berthiaume@ColfaxCorp.com,Industrial Lubrication,
 MachineryLubricationMagazine , Brett O'Kelley ,"1328 E 43rd Court, Tulsa, OK, 74105",800-597-5460,noria.com,bretto@noria.com,Industrial Lubrication,
 ManuSpec CompanyInc. , Richard Babineaux ,"23802 FM 2978 Bldg. C-2, Tomball, TX, 77375",281-351-9889,manuspec.net,Rbabineaux@ev1.net,Industrial Lubrication,
 MazdakInternational Inc. , Baha Abulnaga ,"P.O.Box 339 - 410 West 3rd Street, Sumas, WA, 98295",360-988-5028,None,mazdakus@gte.net,Industrial Lubrication,
 MDA , Dale McNeill ,"50485 Utica Drive, Shelby Township, MI, 48315",810-949-3700,ameritech.net,lpi@ameritech.net,Industrial Lubrication,
" Mitsubishi HeavyIndustries, Ltd. ", Yoshinobu Horita ,"10795 Hammerly, Suite 350-B, Houston, TX, 77043",713-935-2585,None,info@petropages.com,Industrial Lubrication,
 MittenManufacturing , David Bennett ,"1 Lamson Street, Syracuse, NY, 13206",315-437-7564,mitten.com,dbennett@mitten.com,Industrial Lubrication,
 MRC Bearings - SKFInd. & Serv. Div. , Wendy Earle ,"1510 Gehman Rd., Kulpsville, PA, 19443",215-513-4400,skfusa.com,wendy_earle@skf.com,Industrial Lubrication,
 Myoco PipelineSupplies andService , Rick Stephens ,"12751 South Main, P.O. Box 35137, Houston, TX, 77235-5137",713-723-0110,None,info@petropages.com,Industrial Lubrication,
 Narmada EquipmentsPvt. Ltd. , Udit Agrawal ,"6/1 Industrial Estate, Govindpura, Phopal.,, 462 003",+91-(0)755-586387,None,uditagrawal@hotmail.com,Industrial Lubrication,
 National Oilwell , Richard Doucet ,"307 Mecca Drive, Lafayette, LA, 70508",318-237-8078,dupre.com,info@petropages.com,Industrial Lubrication,
 NuGenTec , Donato Polignone ,"100 Professional Center Drive, Suite 101, Rohnert Park, CA, 94928",888-996-8436,nugentec.com,donato@nugentec.com,Industrial Lubrication,
 O'Rourke PetroleumProducts , Eric Lipscomb ,"223 McCarty Drive, Houston, TX, 77029",713-675-3335,orpp.com,lubes@orpp.com,Industrial Lubrication,
 OEC Fluid Handling , Glen Covington ,"P.O. Box 2807, 140 Cedar Spring Rd., Spartanburg, SC, 29304",864-573-9200,oecfh.com,gcovington@oecfh.com,Industrial Lubrication,
 ParkerInstrumentationConnectors Div. , David F. Bush ,"9400 South Memorial Parkway, Huntsville, AL, 35802",256-881-2040,parker.com,dbush@parker.com,Industrial Lubrication,
 PennzoilCommercial/industrial Prod , Ron Jensen ,"2203 Timberloch Pl #45, The Woodlands, TX, 77380",281-363-8101,None,info@petropages.com,Industrial Lubrication,
 Perma USA , Kevin Keating ,"2727 Selwyn Ave., Charlote, NC, 28210",800-997-3762,permausa.com,Permausa@aol.com,Industrial Lubrication,
 Petroseal  (FIDGIGROUP) , Philippe Lamotte ,"Hameau de Claville, Saint Arnoult, Lillebonne, Normandy, 76170",-235550437,leaksealing.com,info@leaksealing.com,Industrial Lubrication,
 PolarisLaboratories , Jacque Powers ,"7898 Zionsville Road, Indianapolis, IN, 46268", 317-808-3750,polarislabs.com,jpowers@polarislabs.com,Industrial Lubrication,
" Polymer Dynamics,Inc. "," Carl Benton III, Pres. ","4116 Siegel Street, Houston, Texas, 77009",(713) 694-3296,polydyn.com,polymer.dynamics@cwixmail.com,Industrial Lubrication,
" Power ServicesTechnologies, Inc. ", Amar Kalle ,"3701 Tenth Street, Brookshire, TX, 77423",281-375-5570,pstpower.com,akalle@pstpower.com,Industrial Lubrication,
 PowerSavers Group , Dean Ottoson ,"5670 Signet Drive, Dayton, Ohio, 45424",937-233-4643,lube-power.com,dottsn@sbcglobal.net,Industrial Lubrication,
" Precision Fluids,Inc. ", Erica  ,"5230 Brittmoore, Houston, Texas, 77041",713-896-0606,precisionfluids.com,carlr@precisionfluids.com,Industrial Lubrication,
 Quaint , Mobolaji Durodola ,"PO Box 940996, Houston, TX, 77094",888-641-6333,quaint-us.com,Mobolaji.durodola@quaint-us.com,Industrial Lubrication,
 R. S. IndustrialSales & Services(PVT) , Rajiv Sahai ,"C-2, Saket, New Delhi, New Delhi, 110017",652-5449,None,krazyglue@mail.usa.com,Industrial Lubrication,
 RefrigerationTechnologies , J. Pastorello ,"2572 Fender Ave Bldg C, Fullerton, CA, 92831",800-869-1407,refrigtech.com,info@refrigtech.com,Industrial Lubrication,
 RigFloorEnterprises , Abdul Mian ,"1755 Robson St. # 545, Vancouver, BC, V6G 3B7",604-683-4402,rigfloor.com,benice@rigfloor.com,Industrial Lubrication,
 Rosen's PowerSystems , Sylvia Perez ,"8226 E. Whittier Blvd, Pico Rivera, CA, 90660",800-877-9870,rosenselectric.com,sylviap@rosenelec.com,Industrial Lubrication,
" Royal Purple, Inc. ", David Canitz ,"2006 Wilson Rd, Humble, TX, 77396",281-446-1000,royalpurple.com,dcanitz@royalpurple.com,Industrial Lubrication,
 RSE Inc. , David Greer ,"P.O.Box 6513, Van Buren, AR, 72956",479-414-0670,None,dagreer@mynewroads.com,Industrial Lubrication,
 Russack Dri-Slide , David Russack ,"1485 Showcase Drive, Columbus, OH, 43212",800-231-6901,russack.com,russack@netwalk.com,Industrial Lubrication,
 Samar SinghJayaswal Ltd. , Raaj Jayaswal ,"27 B Camac Street, Calcutta, WB, 700016",-2806119,ssjgroup.com,ssjgroup@vsnl.com,Industrial Lubrication,
 Santotrac TractionLubricants , Manny Joaquim ,"8 Governor Drive, St Charles, Missouri, 63301",800-370-2740,santotrac.com,mjoaquim1@cs.com,Industrial Lubrication,
 Seal DistributionCenter , Matt J. Ney ,"16111 Park Entry Drive, #100, Houston, TX, 77041",713-856-7130,parker.com,mattney@aol.com,Industrial Lubrication,
 Seal PacProfessionalServices Inc. , Steve Daniele ,"6201 Bayway Dr., Baytown, TX, 77520",281-424-2574,sealpac.com,info@sealpac.com,Industrial Lubrication,
 Siemag Industries , Rajesh Jangam ,"19, R.K. Industry House, Walbhat Road, Goregaon (east), Bombay, 400063",-8727117,siemag.net,siemag@vsnl.com,Industrial Lubrication,
" SKF USA, Inc. ", Wendy Earle ,"1100 First Avenue, King of Prussia, PA, 19443",215-513-4734,skfusa.com,info@petropages.com,Industrial Lubrication,
 Sloan BrothersCompany , Walter Sloan ,"P.O. Box 378, 204 Pennsylvania Avenue, Oakmont, PA, 15139",800-722-0250,sbco.com,wrs@sbco.com,Industrial Lubrication,
 SMC Technologies , Phil Bowersox ,"1517 Ocama Blvd., Midwest City, OK, 73110",800-727-2740,thomasregional.com,info@petropages.com,Industrial Lubrication,
" Source and VarietyExport/ImportCo.,USA ", Sherion Tillman ,"3166 N.W. 3rd Street, Okeechobee, FL, 34972",941-466-4270,Source and Variety.net,sourceandvariety@yahoo.com,Industrial Lubrication,
 Source NorthAmericaCorporation , Sales  ,"1645 East Carboy Road, Arlington Heights, IL, 60005",800-621-5524,sourcena.com,sales@sourcena.com,Industrial Lubrication,
 Southwest UnitedIndustries , Jim Emery ,"422 S. St. Louis Ave., Tulsa, OK, 74120",918-587-4161,swunited.com,jmemery@swunited.com,Industrial Lubrication,
 SouthwesternControls , Customer Service ,"6720 Sands Point, Suite 201, Houston, Texas, 77074",713-777-2626,swcontrols.com,cryoung@swcontrols.com,Industrial Lubrication,
 Square TwoEngineering Ltd , HEYDON McEaddy ,"ANCHOR HOUSE, Market Harborough, Leicestershire, LE16 7PT",44. (0) 01858 461,co.uk,sales@sq2engltd.demon.co.uk,Industrial Lubrication,
 Standard Bolting , Matt or Chris Pfeiffer ,"20762 S. ViewPoint Rd., West Linn, OR",541-914-3440,standardbolting.com,info@standardbolting.com,Industrial Lubrication,
 Stearns Corp , Jerry Christopher ,"8399 Westview, Houston, TX, 77055",713-461-1571,vici.com,stearns-corp@juno.com,Industrial Lubrication,
" Subco, Inc. "," Dave Rogers, JR. ","8124 West 188th Street, Mokena, IL, 60448",815-469-8006,None,info@petropages.com,Industrial Lubrication,
 Summit IndustrialProducts , ,"9010 CR 2120, Tyler, TX, 75707",903-534-8021,klsummit.com,info@klsummit.com,Industrial Lubrication,
" Sun CoastResources, Inc. ", Brett Stephen ,"6922 Cavalcade, Houston, TX, 77028",713-429-6707,suncoastresources.com,bstephen@SunCoastResources.com,Industrial Lubrication,
" Superbolt, Inc. ", Allen Stienbock ,"P.O. Box 683, Carnegie, PA, 15106",800-345-BOLT,superbolt.com,superbolt@superbolt.com,Industrial Lubrication,
 Superior GraphiteCo. , Mark Wanta ,"10 S. Riverside Plaza, Suite 1600, Chicago, IL, 60606",312-559-2999,superiorgraphite.com,mwanta@graphitesgc.com,Industrial Lubrication,
 Synoillube Inc. , Gaurang Jariwala ,"2102 Bay Hill Drive, League City, TX, 77573",281-334-5650,None,synoillube@ziplip.com,Industrial Lubrication,
 T.F. HudginsIncorporated , Bob Parr ,"P O Box 920946, Houston, TX, 77292-0946",713-682-3651,tfhudgins.com,info@petropages.com,Industrial Lubrication,
" Tadlock Pipe &Equipment, Inc. ", Kelli George ,"P.O. Box 16990, Lake Charles, LA, 70616",337-436-0426,tadlockpipe.com,info@tadlockpipe.com,Industrial Lubrication,
 Tech-EquipmentIncorporated , Chris Rule ,"801 West Bay Drive, Suite 429, Largo, FL, 33770",813-585-7955,tech-equipment.com,info@petropages.com,Industrial Lubrication,
 Texas Gauge &Controls , Sam Ditta ,"7575 Dillon, Houston, TX, 77061",713-641-2282,texasgauge.com,info@petropages.com,Industrial Lubrication,
" Texas IndustrialSupply, INC. ", Gerardo Perez ,"1291 North Post Oak Suite 110, Houston, TX, 77055",713-681-2395,Texasindustrialsupply.com,Gerardoperez@emailmsn.com,Industrial Lubrication,
 Texas ProcessEquipment (TPE) , Curtis Cunningham ,"5215 Ted Street, Houston, TX, 77092",713-460-5555,texasprocess.com,sales@texproc.com,Industrial Lubrication,
 Third CoastChemicals , Paul Glenn ,"1871 Mykawa Rd. Houston, TX 77581",281-412-2888,3cchemicals.com,p.glenn@thirdcoastint.com,Industrial Lubrication,
 Thordon BearingsInc. , Allen Taylor ,"1140 FM 2094 #106, Clear Lake Shores, TX, 77565",281-334-6118,None,info@petropages.com,Industrial Lubrication,
 Tiger TanksOffshore RentalLTD. , Casey Crenshaw ,"816 Barbours Cut Blvd., LaPorte, TX, 77571",409-833-2665,modernusa.com,casey.crenshaw@modernusa.com,Industrial Lubrication,
" TPS, LLC GulfCoast Sales &Service ", Sidney Mondin ,"9153 Wallisville, Houston, TX, 77029-1323",888-877-5311,tps-sales.com,sidmon@tps-sales.com,Industrial Lubrication,
 Trico Mfg. Corp. , Lisa Kiepert ,"1235 Hickory Street, Pewaukee, WI, 53072",262-691-9336,tricomfg.com,lisak@tricomfg.com,Industrial Lubrication,
 Trola-Dyne Inc. , Bob Kirkhoff ,"7 Interchange Place, York, PA, 17402",717-840-1770,trola.com,richc@trola.com,Industrial Lubrication,
 VAL-TEX , Ron Meade ,"10600 Fallstone Rd, Houston, TX, 77099-4390",281-530-4848,valtex.com,help@valtex.com,Industrial Lubrication,
 Valv Trol Company , Richard Houck ,"1340 Commerce Dr., PO Box 2259, Stow, Ohio, 44224-1000",330-686-2800,valv-trol.com,sales@valv-trol.com,Industrial Lubrication,
 VANWIN Corp. , Nick Van Grinsven ,"N8980 Oneida Road, Manasha, WI, 54952",920-739-6606,vanwincorp.com,nick@vanwincorp.com,Industrial Lubrication,
 Wallace Industries , Scott Hamm ,"P.O. Box 1281, OUT OF BUSINESS, Port Lavaca, TX, 77979",512-552-7882,wilsonline.com,info@petropages.com,Industrial Lubrication,
 WeatherfordPipeline &Specialty Service , ,"7721 Pinemont, Houston, TX, 77040",713-580-9700,weatherford.com,info@petropages.com,Industrial Lubrication,
" WildhorseIndustries, Inc. ", Doug Chartier ,"1042 Midland Street, Brighton, CO, 80601",303-659-6914,Pipeline-Corrosion.com,Doug@Pipeline-Corrosion.com,Industrial Lubrication,
 Zep Manufacturing , Joe Dymecki ,"6827 Wynnwood, Houston, TX, 77008",713-869-3636,zepmfg.com,info@petropages.com,Industrial Lubrication,
" A & A Machine andFabrication, LLC ", Patrick Hutchins ,"3101 Texas Avenue, La Marque, TX, 77568",409-938-4274,aagroup.com,cphutchins@aagroup.com,"Machining,Weld,Treatments",
 A-1 American Gearand MachineryRebuild , David McCarroll ,"P/O Box 1711, Covington, Louisiana, 70431",800-561-7044,emergencygears.com,a1mac@bellsouth.net,"Machining,Weld,Treatments",
 A.G.ThompsonCorporation -Safety Supply , Anna Thompson ,"100 E. Nasa Rd. 1 Ste.#205, Webster, TX, 77058",281-484-7510,agthompson.com,agthompson@pdq.net,"Machining,Weld,Treatments",
 A.M.S. CastingRepair , Tony Marcello ,"P.O. Box 1, Oak Forest, IL, 60452-0001",708-535-1661,metalstitching.com,amarce1254@aol.com,"Machining,Weld,Treatments",
" A.S. Thomas, Inc. ", David Thomas ,"355 Providence Hwy., Westwood, MA, 2090",781-329-9200,std.com,Turbo@asthomas.com,"Machining,Weld,Treatments",
 ABC Equipment , Steve Cook ,"2005 Paseo Laro, San Clemente, CA, 92673",949-498-9805,None,cooksteven@sbcglobal.net,"Machining,Weld,Treatments",
 ABCO Tool &Engineering , Anthony G. Boogaard ,"210 South 37th Street, Phoenix, AZ, 85034",602-267-7234,abcotool.com,abcotool@msn.com,"Machining,Weld,Treatments",
" ABL Fabricators,LLC ", Lyle Erickson ,"206 N Spring St. P.O. Box 538, Blair, WI, 54616",608-989-9663,None,hoffmanfj@msn.com,"Machining,Weld,Treatments",
 Accutool , John Murosky ,"5301 Iroquois Avenue, Erie, PA, 16511",814-456-7797 Ex22,accutool-fasteners.com,samgroup@aol.com,"Machining,Weld,Treatments",
" ACMB, Inc. ", Walt Fritz ,"871 Venetia Bay Blvd, Ste. 206., Venice, FL, 34292",941-412 3688,acmb.de,acmbamerica@aol.com,"Machining,Weld,Treatments",
" Action IndustrialSupply, Inc. ", Russell Greenwood ,"126 N. 18th St., LaPorte, TX, 77571",281-470-2713,None,info@petropages.com,"Machining,Weld,Treatments",
" ADCO Technology,Inc. ", Mike Armstrong ,"12518 Foxton Road, Houston, TX, 77048-3897",713-991-5780,adcotechnology.com,cmike@adcotechnology.com,"Machining,Weld,Treatments",
 Adhesive ServicesCompany , Joel Piefer ,"P.O. Box 40907, Houston, TX, 77240-0907",713-896-0526,adhesiveservices.com,jpiefer@adhesiveservices.com,"Machining,Weld,Treatments",
" Advanced MachineWorks, Inc. ", Robert D. Weist ,"P.O. Box 1020, 156 Ahlstrom Way, Easley, South Carolina, 29641",864-859-0380,None,info@petropages.com,"Machining,Weld,Treatments",
 AdvancedTechnology Company , Tim Reiniger ,"2858 E. Walnut Street, Pasadena, CA, 91107",800-447-2442,at-co.com,timr@at-co.com,"Machining,Weld,Treatments",
 AffordableAluminum Products , Tim Scallan ,"3310 ""B"" Barrancas Ave., Pensacola, FL, 32507",850-458-9104,None,Affalum1@AOL.COM,"Machining,Weld,Treatments",
" Alabama MetalIndustriesCorporation, AMICO ", Fred Mayer ,"3245 Fayette Ave, Birmingham, AL, 35208",800-366-2642,amico-grating.com,sales@amico-online.com,"Machining,Weld,Treatments",
 All Metals & Forge , Lewis Weiss ,"239 New Road, Parsippany, NJ, 7054",973-276-5000,steelforge.com,laweiss@steelforge.com,"Machining,Weld,Treatments",
" Allspec Fasteners,Inc. ", Chris Crickmer ,"3600 Yale Street, Houston, TX, 77018",713-695-0080,allspectexas.com,ccrickmer@PDQ.net,"Machining,Weld,Treatments",
 Aloma Shim andManufacturing , Fred Grove Jr. ,"P.O. Box 246, Oakmont, PA, 15139",412-828-8660,aloma.com,petrosales@Aloma.com,"Machining,Weld,Treatments",
 ALPSMaintaineeringServices , Leonardo Dayon ,"6/F L.V. Locsin Bldg., Ayala Ave cor Makati Ave., Makati City, Makati, 1226",632-878-6079,alpsmaintain.net,alpsmaintain@skyinet.net,"Machining,Weld,Treatments",
" AlumiPlate, Inc. ", Lonnie Brown ,"8960 SpringBrook Drive, Coon Rapids, Minnesota, 55433-5874",281.957.0048,alumiplate.com,sales@alumiplate.com,"Machining,Weld,Treatments",
 Alvin Products , Dennis Aikman ,"85 Paris Street, Everett, MA, 2149",978-423-7681,alvinproducts.com,sales@alvinproducts.com,"Machining,Weld,Treatments",
 American HollowBoring Co. , Brad Kegerreis ,"1901 Raspberry St.  P.O. Box 338, Erie, PA, 16512",814-452-3664,ahb-erie.com,sales@amhollow.com,"Machining,Weld,Treatments",
" AmericanIndustrialFabricators, Inc. ", Wesley Babin ,"12423 Jim Babin Road, St. Amant, LA, 70774",504-647-6786,aol.com,aif63@aol.com,"Machining,Weld,Treatments",
 American Tinning &Galvanizing Co. , James Engstrom ,"552 West 12th Street, Erie, PA, 16501",814-456-7053,galvanizeit.com,info@galvanizeit.com,"Machining,Weld,Treatments",
" AmericanUnderwaterServices, Inc. ", Anthony DiIulio ,"P.O. Box 126216, Fort Worth, TX, 76126",817-377-8512,americanunderwaterservices.com,anthony@americanunderwaterservices.com,"Machining,Weld,Treatments",
 AMICO , Jim Quinn ,"3245 Fayette Ave, Birmingham, AL, 35208",800-366-2642,AMICO-GRATING.com,info@petropages.com,"Machining,Weld,Treatments",
" APM- AtlanticPlant Maintenance,Inc. ", Sales ,"801 Corporate Centre Dr., Suite 310, Saint Charles, MO, 63304",636-329-2001,apmdelivers.com,info@apmdelivers.com,"Machining,Weld,Treatments",
 Aqua EnergySystems Limited , David Lafferty ,"17 Park Road, Paisley, Renfrewshire, PA2 6JP",-6006,aquaenergy.com,info@aquaenergy.com,"Machining,Weld,Treatments",
 Aqua-Dyne Inc , Dennis Williams ,"3620 West 11th Street, Houston, TX, 77008",713-864-6929,aqua-dyne.com,info@aqua-dyne.com,"Machining,Weld,Treatments",
 Aquilex WSI , ,"3344 Peachtree Road NE, Suite 2100, Atlanta, GA, 30326",281.957.0048,aquilex.com,info@petropages.com,"Machining,Weld,Treatments",
 Arcos AlloysCorporation , Beth Haupt ,"One Arcos Drive, Mt. Carmel, PA, 17851",800-233-8460,arcosalloys.com,arcos@ptdprolog.net,"Machining,Weld,Treatments",
 Arrow Tank andEngineering Co. , Bill Rice ,"650 North Emerson, Cambridge, MN, 55008",612-689-3360,arrowtank.com,info@petropages.com,"Machining,Weld,Treatments",
 Arthur Harris &Co. , Doug Palmer ,"210 N. Aberdeen St. ., Chicago, IL, 60607",312-666-6832,arthurharris.com,info@petropages.com,"Machining,Weld,Treatments",
" AscensionIndustries, Inc. ", Cynthia Lombardo ,"1254 Erie Avenue, North Tonawanda, NY, 14120",716-693-9381,asmfab.com,sales@asmfab.com,"Machining,Weld,Treatments",
" ASSOCIATED WEARCOATINGS, INC ", Walter Klepacz ,"5695 Surry Square, Houston, TX, 77017",713-944-3666,None,metalize@worldnet.att.net,"Machining,Weld,Treatments",
" Associated WeldingSupply, Inc. ", Kevin Davis ,"3002 S. Main, Pearland, TX, 77581",281-485-2755,associated-welding.com,PD459@swbell.net,"Machining,Weld,Treatments",
